0	Barclays'	0.0011682242990654205	0.005841121495327103	0.0011682242990654205	0.0011682242990654205	0.0011682242990654205	0.11799065420560748	0.010514018691588784	0.09462616822429906	0.0011682242990654205	0.0011682242990654205	0.0011682242990654205	0.0011682242990654205	0.05724299065420561	0.0011682242990654205	0.0011682242990654205	0.4077102803738318	0.0011682242990654205	0.0011682242990654205	0.2908878504672897	0.0011682242990654205
1	How	0.0016129032258064516	0.0016129032258064516	0.014516129032258065	0.0016129032258064516	0.5758064516129032	0.1435483870967742	0.0016129032258064516	0.0467741935483871	0.0016129032258064516	0.0016129032258064516	0.0016129032258064516	0.0016129032258064516	0.0016129032258064516	0.008064516129032258	0.0016129032258064516	0.0016129032258064516	0.014516129032258065	0.0016129032258064516	0.17580645161290323	0.0016129032258064516
2	Zika’s	0.0012626262626262627	0.4356060606060606	0.0012626262626262627	0.006313131313131313	0.0012626262626262627	0.026515151515151516	0.08712121212121213	0.0012626262626262627	0.0012626262626262627	0.0012626262626262627	0.0012626262626262627	0.0012626262626262627	0.08712121212121213	0.0012626262626262627	0.0012626262626262627	0.0012626262626262627	0.021464646464646464	0.0012626262626262627	0.1830808080808081	0.13762626262626262
3	Fight	5.102040816326531E-4	5.102040816326531E-4	5.102040816326531E-4	0.0066326530612244895	0.6964285714285714	0.008673469387755102	5.102040816326531E-4	0.018877551020408164	0.02295918367346939	0.008673469387755102	0.002551020408163265	0.029081632653061223	0.06581632653061224	5.102040816326531E-4	5.102040816326531E-4	0.002551020408163265	0.025	5.102040816326531E-4	0.1086734693877551	5.102040816326531E-4
4	Voting	0.0022007042253521128	0.03917253521126761	0.011003521126760563	0.021566901408450703	0.417693661971831	0.03917253521126761	0.011003521126760563	0.047975352112676055	4.4014084507042255E-4	4.4014084507042255E-4	0.023327464788732395	0.09022887323943662	0.08670774647887323	0.06910211267605634	4.4014084507042255E-4	4.4014084507042255E-4	0.0022007042253521128	4.4014084507042255E-4	0.09375	0.042693661971830985
5	Twitter	0.0010683760683760685	0.0010683760683760685	0.009615384615384616	0.0010683760683760685	0.05235042735042735	0.36004273504273504	0.0010683760683760685	0.005341880341880342	0.0010683760683760685	0.0010683760683760685	0.23183760683760685	0.0010683760683760685	0.026709401709401708	0.018162393162393164	0.0010683760683760685	0.0010683760683760685	0.0010683760683760685	0.009615384615384616	0.05235042735042735	0.2232905982905983
6	Ariana	0.020186335403726708	0.0015527950310559005	0.0015527950310559005	0.11335403726708075	0.28726708074534163	0.24378881987577639	0.0015527950310559005	0.04503105590062112	0.0015527950310559005	0.0015527950310559005	0.03881987577639751	0.0015527950310559005	0.013975155279503106	0.020186335403726708	0.03260869565217391	0.0015527950310559005	0.007763975155279503	0.013975155279503106	0.026397515527950312	0.12577639751552794
7	Never	0.01717557251908397	0.020229007633587787	3.816793893129771E-4	0.3286259541984733	0.003435114503816794	0.00801526717557252	3.816793893129771E-4	0.15152671755725192	3.816793893129771E-4	3.816793893129771E-4	0.02633587786259542	0.08282442748091604	0.08129770992366413	3.816793893129771E-4	0.029389312977099236	3.816793893129771E-4	0.15916030534351144	0.012595419847328244	0.07366412213740459	0.003435114503816794
8	Innovations	5.80046403712297E-4	0.4622969837587007	0.11194895591647332	5.80046403712297E-4	5.80046403712297E-4	0.04466357308584687	0.12354988399071926	0.02842227378190255	5.80046403712297E-4	0.005220417633410673	0.05162412993039443	5.80046403712297E-4	0.037703016241299306	5.80046403712297E-4	5.80046403712297E-4	0.02842227378190255	0.005220417633410673	5.80046403712297E-4	0.095707656612529	5.80046403712297E-4
9	Police	0.0013157894736842105	0.017105263157894738	0.02236842105263158	0.0013157894736842105	0.02236842105263158	0.36973684210526314	0.04342105263157895	0.0013157894736842105	0.017105263157894738	0.0013157894736842105	0.0013157894736842105	0.05921052631578947	0.0013157894736842105	0.011842105263157895	0.006578947368421052	0.3907894736842105	0.006578947368421052	0.0013157894736842105	0.02236842105263158	0.0013157894736842105
10	Gilmore	0.009761663286004058	6.338742393509128E-4	1.2677484787018255E-4	0.006211967545638945	0.5477941176470589	0.06604969574036511	0.0016480730223123732	0.07822008113590263	0.001140973630831643	0.003169371196754564	0.011790060851926978	0.006719066937119675	0.06757099391480731	0.01838235294117647	0.005197768762677485	0.003169371196754564	0.04424442190669371	6.338742393509128E-4	0.09039046653144016	0.03714503042596349
11	Manchester	0.0036443148688046646	7.288629737609329E-4	0.0036443148688046646	7.288629737609329E-4	7.288629737609329E-4	7.288629737609329E-4	7.288629737609329E-4	0.018221574344023325	0.2747813411078717	0.35932944606413997	0.0036443148688046646	7.288629737609329E-4	0.2368804664723032	7.288629737609329E-4	7.288629737609329E-4	7.288629737609329E-4	7.288629737609329E-4	7.288629737609329E-4	0.09110787172011661	7.288629737609329E-4
12	Fans	0.004528985507246377	9.057971014492754E-4	0.01177536231884058	9.057971014492754E-4	0.004528985507246377	0.051630434782608696	0.01177536231884058	0.004528985507246377	9.057971014492754E-4	0.3451086956521739	9.057971014492754E-4	0.029891304347826088	0.0625	0.16032608695652173	9.057971014492754E-4	0.11322463768115942	9.057971014492754E-4	0.0625	0.13134057971014493	9.057971014492754E-4
13	Merkel	7.022471910112359E-4	7.022471910112359E-4	7.022471910112359E-4	7.022471910112359E-4	7.022471910112359E-4	0.0035112359550561797	0.05407303370786517	0.07654494382022473	0.006320224719101123	7.022471910112359E-4	0.09339887640449439	7.022471910112359E-4	0.07654494382022473	0.2478932584269663	7.022471910112359E-4	0.3237359550561798	0.0035112359550561797	7.022471910112359E-4	0.1074438202247191	7.022471910112359E-4
